,MeanDecreaseGini
diq175t,90.43118371
diq175h,75.43328084
diq175x,75.16343312
diq175i,72.0205435
diq175u,71.57086914
diq175s,68.73492303
diq175k,68.57290277
diq175m,68.55029974
diq175c,65.02710642
diq175q,62.64253744
diq175l,62.12592877
diq175d,62.11203175
diq175n,59.59125138
diq175r,58.28748533
diq175e,56.0077694
diq175j,55.99457003
diq175a,55.2119152
diq175f,53.15274945
diq175b,52.71218883
diq175g,50.26363238
diq275,49.72528794
diq260u,49.16449504
diq175w,46.4058228
diq175o,43.19527102
diq175v,40.32408313
diq175p,34.25322026
diq170,3.231608189
diq172,3.211624301
did250,2.919398424
did310d,0.003999539
did040,0
diq160,0
diq180,0
diq050,0
did060,0
diq060u,0
diq070,0
diq230,0
diq240,0
did260,0
diq280,0
diq291,0
diq300s,0
diq300d,0
did310s,0
did320,0
did330,0
did341,0
did350,0
diq350u,0
diq360,0
